Indnum,Activity,Consumption,Quality_of_Life_Importance__1_10,solar_powered__water_heater,gas_water_heater,electric_water_heater___peak_hou,electric_water_heater___off_peak,gas,natural_gas,hybrid,electric___peak_hours,electric___off_peak_hours,jetfuel
1,Household heating => 70F,2,88,,,,,,1,,,,
1,Household heating < 70F,10,85,1,1,,,,1,,,,
1,Use of heat pump,,50,,,,,,,,,,
1,Use of air conditioner,20,45,,,,,,,,,,
1,shower - short,5,98,,,,,,,,,,
1,shower - long (> 3 min),30,74,,,,,,,,,,
1,bath,,14,,,,,,,,,,
1,wash-up,44,27,,1,,,,,,,,
1,use of dishwasher,,20,,,,,,,,,,
1,use of clothes washer,2,28,,,,,,,,,,
1,use of clothes dryer,3,11,,,,,,,,,,
1,use of cooking range,,,,,,,,,,,,
1,use of  oven,9,35,,,,,,,,,,
1,use of self-clean feature of electric oven,3,15,,,,,,,,,,
1,Small kitchen appliance in the home,,,,,,,,,,,,
1,TV/computer use,64,23,,,,,,,,,,
1,air travel - large plane,2747,42,,,,,,,,,,
1,air travel - small  plane (<50 seats),,,,,,,,,,,,
1,car trips- self only,443,44,,,,,1,,,,,
1,car trips - driver and self,38,27,,,,,1,,,,,
1,car trips - 2+ people with multiple end points,10,,,,,,1,,,,,
1,trips using public ground transportation,15,49,,,,,,,,,,
1,bags of garbage disposed,26,41,,,,,,,,,,
1,bags of recycling deposited (negative CF),,,,,,,,,,,,
1,bags of compost deposited (negative CF),3,6,,,,,,,,,,
1,hazardous or electric items disposed,,,,,,,,,,,,
1,large items disposed,2,15,,,,,,,,,,
2,Household heating => 70F,7,77,,,,,,1,,,,
2,Household heating < 70F,2,61,,,,,,1,,,,
2,Use of heat pump,,55,,,,,,,,,,
2,Use of air conditioner,15,57,,,,,,,,,,
2,shower - short,7,85,,,,,,,,,,
2,shower - long (> 3 min),13,74,,,,,,,,,,
2,bath,,15,,,,,,,,,,
2,wash-up,44,34,1,,,,,,,,,
2,use of dishwasher,,20,,,,,,,,,,
2,use of clothes washer,8,35,,,,,,,,,,
2,use of clothes dryer,4,13,,,,1,,,,,1,
2,use of cooking range,,,,,,,,,,,1,
2,use of  oven,8,37,,,,,,,,,1,
2,use of self-clean feature of electric oven,3,16,,,,,,,,,,
2,Small kitchen appliance in the home,,,,,,,,,,,,
2,TV/computer use,63,26,,,,,,,,,,
2,air travel - large plane,2524,47,,,,,,,,,,1
2,air travel - small  plane (<50 seats),,,,,,,,,,,,
2,car trips- self only,273,43,,,,,1,,,,,
2,car trips - driver and self,19,30,,,,,1,,,,,
2,car trips - 2+ people with multiple end points,17,,,,,,1,,,,,
2,trips using public ground transportation,12,43,,,,,,,,,,
2,bags of garbage disposed,17,49,,,,,,,,,,
2,bags of recycling deposited (negative CF),,,,,,,,,,,,
2,bags of compost deposited (negative CF),,,,,,,,,,,,
2,hazardous or electric items disposed,,,,,,,,,,,,
2,large items disposed,,14,,,,,,,,,,
3,Household heating => 70F,3,64,,,,,,1,,,,
3,Household heating < 70F,1,75,,,,,,1,,,,
3,Use of heat pump,,42,,,,,,,,,,
3,Use of air conditioner,16,52,,,,,,,,,,
3,shower - short,7,95,,,,,,,,,,
3,shower - long (> 3 min),40,85,1,,,,,,,,,
3,bath,,19,,,,,,,,,,
3,wash-up,45,27,1,1,,,,,,,,
3,use of dishwasher,,25,,,,,,,,,,
3,use of clothes washer,5,44,,,,,1,,,,,
3,use of clothes dryer,3,12,,,,,,,,,,
3,use of cooking range,,,,,1,,,,,,,
3,use of  oven,10,37,,1,,1,,,,,,
3,use of self-clean feature of electric oven,4,19,,,,,,,,,,
3,Small kitchen appliance in the home,,,,,,,,,,,,
